Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2017	cellular defense response (GO:0006968)	1.871055e-07	1.495838e-04	0	0	8.707307e+00	1.348901e+02	NCR1;ITK;ADORA2A;KLRC2;KLRC3;KLRC4;CLEC5A;CXCR2;PRF1;CCR6;KIR3DL2;KIR2DL4
GO_Biological_Process_2017	platelet degranulation (GO:0002576)	2.913024e-07	1.495838e-04	0	0	5.246390e+00	7.895241e+01	EGF;PROS1;ITGB3;SERPINE1;PDGFB;ENDOD1;PDGFA;RAB27B;GTPBP2;SYTL4;TUBA4A;F5;SELP;CLEC3B;MMRN1;A2M;LY6G6F
GO_Biological_Process_2017	G-protein coupled receptor signaling pathway (GO:0007186)	2.089626e-06	7.153486e-04	0	0	3.693140e+00	4.830083e+01	OR4D1;GNAZ;ARHGEF12;GPR34;CCL3L1;FPR2;CD3E;GNGT2;TBXA2R;CCL5;CCL4;CCL3;FFAR3;GNG8;FFAR2;S1PR3;GPR18;PF4V1;CMKLR1;PTGDR;OR2A25
GO_Biological_Process_2017	positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	1.928004e-05	4.347091e-03	0	0	8.588090e+01	9.323609e+02	CD180;PRKCA;SASH1;BMP6
GO_Biological_Process_2017	inflammatory response (GO:0006954)	2.116402e-05	4.347091e-03	0	0	3.222493e+00	3.468436e+01	CCL3L1;TNFAIP6;GPR68;C5AR2;EPHX2;CD180;PLA2G4C;TNFRSF10C;FPR2;TNFRSF11A;NLRC4;IL18RAP;CXCR1;ADORA2A;CCL5;CXCR2;CCL4;CCL3;TNFRSF8;PF4V1
GO_Biological_Process_2017	platelet-derived growth factor receptor signaling pathway (GO:0048008)	3.714642e-05	6.358229e-03	0	0	2.150617e+01	2.193768e+02	NRP1;SRC;PDGFB;PDGFA;PTPRJ
GO_Biological_Process_2017	extracellular matrix organization (GO:0030198)	5.802854e-05	8.513615e-03	0	0	4.155089e+00	4.053113e+01	LAMA5;COL13A1;ITGB5;ITGB3;SERPINE1;PDGFB;PDGFA;COL19A1;COL4A4;COL4A3;COL9A3;ITGB7;JAM3
GO_Biological_Process_2017	blood coagulation (GO:0007596)	1.758274e-04	2.257185e-02	0	0	3.666250e+00	3.169843e+01	DOCK9;GP1BB;PROS1;ITGB3;HBB;GP1BA;ANO6;HBD;GP6;GP5;F5;EHD3;ADORA2A
GO_Biological_Process_2017	blood coagulation, intrinsic pathway (GO:0007597)	2.421918e-04	2.342627e-02	0	0	2.146407e+01	1.787051e+02	GP1BB;GP1BA;A2M;GP5
GO_Biological_Process_2017	fibrinolysis (GO:0042730)	2.421918e-04	2.342627e-02	0	0	2.146407e+01	1.787051e+02	SERPINB2;KRT1;SERPINE1;GP1BA
GO_Biological_Process_2017	positive regulation of calcium ion transport (GO:0051928)	2.540554e-04	2.342627e-02	0	0	1.194330e+01	9.886615e+01	CCL5;CCL4;CCL3;ANK2;MYLK
