Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2017	integral component of plasma membrane (GO:0005887)	8.884752e-25	1.839144e-22	0	0	4.326951e+00	2.396278e+02	GPR25;OXTR;VIPR2;STEAP4;GPR68;ITGB3;AQP9;GRIK4;FASLG;PTPRJ;CD3E;SLC4A3;PHEX;FCAR;SLC6A4;CLEC5A;MRC1;SLC16A6;TNFRSF8;FFAR3;FFAR2;CCR6;EPHB1;CCR4;CMKLR1;ABCC3;EPHA4;PDGFRA;TRPC6;CR1;GPR34;MMD;GP1BB;CD180;GP1BA;AVPR1A;TGFBR3;NCR1;FCER2;ADORA2A;CD8A;KLRF1;BPI;TLR10;TRABD2A;LTK;STEAP1B;RAMP3;ABCB4;C5AR2;CXCR5;KIR2DL1;TNFRSF11A;ADRB2;FPR2;KIR2DL3;CD1A;KIR2DL4;RHD;KLRK1;TBXA2R;TSPAN9;CNR1;CXCR2;STOM;S1PR3;KLRC1;PCDH1;TIGIT;ST14;GPR15;KLRC2;SLC4A10;TNFRSF10C;KIR3DL1;KIR3DL2;GP6;GP5;IGF2R;SELP;CLCN4;CD6;TSPAN18;IL2RB;FXYD1;LGR6;SIGLEC6;GPR18;F2RL3
GO_Cellular_Component_2017	platelet alpha granule lumen (GO:0031093)	2.024681e-04	2.095545e-02	0	0	5.119622e+00	4.354202e+01	MMRN1;EGF;PROS1;SERPINE1;PDGFB;PDGFA;GTPBP2;A2M;F5
GO_Cellular_Component_2017	proteinaceous extracellular matrix (GO:0005578)	1.115057e-03	6.831572e-02	0	0	5.026791e+00	3.417640e+01	LINGO2;LRRN3;OMD;TLR9;LTBP1;GP5;COL19A1
GO_Cellular_Component_2017	receptor complex (GO:0043235)	1.320111e-03	6.831572e-02	0	0	3.485682e+00	2.311021e+01	TGFBR3;NRP1;KLRC2;ITGB5;EGF;ITGB3;ITGB7;ADRB2;KLRC1;PLXDC1
GO_Cellular_Component_2017	collagen type IV trimer (GO:0005587)	2.007427e-03	7.004684e-02	0	0	inf	inf	COL4A4;COL4A3
GO_Cellular_Component_2017	integral component of membrane (GO:0016021)	2.030343e-03	7.004684e-02	0	0	1.936857e+00	1.200764e+01	SLC46A2;CHRNA2;EDA;AQP9;KCNA3;PRF1;FPR2;KIR2DL3;BEST1;SNN;KLRK1;PTGDR;CMKLR1;OR2A25;CHST8;OR4D1;DGAT2;IL10RA;SLC4A10;IFNLR1;XK;KCNMA1;CD7;CMTM2;PKHD1L1;GPR18;CHST2
GO_Cellular_Component_2017	platelet alpha granule membrane (GO:0031092)	2.792448e-03	8.257669e-02	0	0	8.580698e+00	5.046168e+01	SELP;ITGB3;SYTL4;LY6G6F
GO_Cellular_Component_2017	Golgi lumen (GO:0005796)	4.225472e-03	9.500284e-02	0	0	4.448489e+00	2.431822e+01	PROS1;OMD;PDGFB;PDGFA;PCSK6;PCSK5
GO_Cellular_Component_2017	heterotrimeric G-protein complex (GO:0005834)	4.727715e-03	9.500284e-02	0	0	7.149213e+00	3.827913e+01	GNAO1;GNAZ;GNGT2;GNAL
GO_Cellular_Component_2017	T cell receptor complex (GO:0042101)	4.727715e-03	9.500284e-02	0	0	7.149213e+00	3.827913e+01	CD6;CD8A;CD247;CD3E
GO_Cellular_Component_2017	neurofilament (GO:0005883)	5.842952e-03	9.500284e-02	0	0	4.276483e+01	2.199189e+02	NEFL;LDLRAP1
