Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2017	transmembrane signaling receptor activity (GO:0004888)	2.992668e-08	9.875803e-06	0	0	6.320747e+00	1.095039e+02	OR4D1;KLRC2;KLRC3;GP1BB;TNFRSF10C;TNFRSF11A;GP6;CD3E;KIR2DL4;MRC1;KLRF1;TNFRSF8;TLR10;KLRC1;LGR6;SLAMF1;OR2A25
GO_Molecular_Function_2017	G-protein coupled receptor activity (GO:0004930)	1.132933e-05	1.869339e-03	0	0	5.432672e+00	6.186790e+01	VIPR2;GPR34;CXCR1;C5AR2;CXCR5;FFAR3;FFAR2;S1PR3;FPR2;LGR6;GPR18;CMKLR1
GO_Molecular_Function_2017	CCR1 chemokine receptor binding (GO:0031726)	3.467181e-04	3.813899e-02	0	0	6.427869e+01	5.121082e+02	CCL5;CCL4;CCL3
GO_Molecular_Function_2017	platelet-derived growth factor receptor binding (GO:0005161)	6.761034e-04	5.577853e-02	0	0	1.430664e+01	1.044265e+02	ITGB3;PDGFB;PDGFA;PTPRJ
GO_Molecular_Function_2017	chemokine receptor activity (GO:0004950)	1.024968e-03	6.764786e-02	0	0	1.226166e+01	8.439816e+01	CXCR1;CCR6;CCR4;CMKLR1
GO_Molecular_Function_2017	endopeptidase activity (GO:0004175)	2.230160e-03	1.220011e-01	0	0	5.162227e+00	3.151891e+01	ST14;CTSH;PCSK6;PCSK5;MMP9;TRABD2A
GO_Molecular_Function_2017	Ras guanyl-nucleotide exchange factor activity (GO:0005088)	2.587902e-03	1.220011e-01	0	0	3.406857e+00	2.029434e+01	IRS1;EGF;RASGRF2;IL2RB;PDGFB;PDGFA;NEFL;KNDC1;NCAM1
GO_Molecular_Function_2017	voltage-gated ion channel activity (GO:0005244)	5.842952e-03	1.806609e-01	0	0	4.276483e+01	2.199189e+02	KCNA3;ANO6
GO_Molecular_Function_2017	cupric reductase activity (GO:0008823)	5.842952e-03	1.806609e-01	0	0	4.276483e+01	2.199189e+02	STEAP4;STEAP1B
GO_Molecular_Function_2017	ferric-chelate reductase (NADPH) activity (GO:0052851)	5.842952e-03	1.806609e-01	0	0	4.276483e+01	2.199189e+02	STEAP4;STEAP1B
GO_Molecular_Function_2017	chemoattractant activity (GO:0042056)	8.495585e-03	1.806609e-01	0	0	9.177400e+00	4.375976e+01	CCL5;PDGFB;CCL3
GO_Molecular_Function_2017	SH2 domain binding (GO:0042169)	9.051066e-03	1.806609e-01	0	0	5.717728e+00	2.690118e+01	SRC;IRS1;LCK;LILRB1
GO_Molecular_Function_2017	heparin binding (GO:0008201)	9.336711e-03	1.806609e-01	0	0	3.683770e+00	1.721721e+01	TGFBR3;SELP;CLEC3B;COL13A1;PCSK6;PF4V1
GO_Molecular_Function_2017	peroxidase activity (GO:0004601)	1.129707e-02	1.806609e-01	0	0	8.029457e+00	3.599775e+01	HBB;HBA1;PTGS1
GO_Molecular_Function_2017	G-protein beta/gamma-subunit complex binding (GO:0031683)	1.129707e-02	1.806609e-01	0	0	8.029457e+00	3.599775e+01	GNAO1;GNAZ;GNAL
GO_Molecular_Function_2017	lipopolysaccharide binding (GO:0001530)	1.129707e-02	1.806609e-01	0	0	8.029457e+00	3.599775e+01	SELP;CD6;BPI
GO_Molecular_Function_2017	MHC class I receptor activity (GO:0032393)	1.133921e-02	1.806609e-01	0	0	2.138037e+01	9.577312e+01	KLRF1;LILRB1
GO_Molecular_Function_2017	nerve growth factor binding (GO:0048406)	1.133921e-02	1.806609e-01	0	0	2.138037e+01	9.577312e+01	TNFRSF8;PCSK6
GO_Molecular_Function_2017	phospholipase activator activity (GO:0016004)	1.133921e-02	1.806609e-01	0	0	2.138037e+01	9.577312e+01	CCL5;CCL3
GO_Molecular_Function_2017	calcium-dependent phospholipid binding (GO:0005544)	1.149660e-02	1.806609e-01	0	0	4.127493e+00	1.843216e+01	RPH3A;DYSF;SYTL4;SYTL2;SYT17
GO_Molecular_Function_2017	chemokine activity (GO:0008009)	1.149660e-02	1.806609e-01	0	0	4.127493e+00	1.843216e+01	CCL3L1;CCL5;CCL4;CCL3;PF4V1
GO_Molecular_Function_2017	coreceptor activity (GO:0015026)	1.302173e-02	1.885328e-01	0	0	5.044087e+00	2.189707e+01	TGFBR3;NRP1;CD8A;ITGB3
GO_Molecular_Function_2017	signal transducer activity (GO:0004871)	1.314017e-02	1.885328e-01	0	0	2.421921e+00	1.049196e+01	GNAO1;TICAM2;GNAL;GNGT2;IRS1;IL10RA;CXCR2;GNG8;PDCD1;WLS
GO_Molecular_Function_2017	protein homodimerization activity (GO:0042803)	1.421814e-02	1.891325e-01	0	0	1.641501e+00	6.981692e+00	ABCD2;GLDC;PDGFB;BHLHE41;PDGFA;NLRC4;ADRB2;CD3E;ADD2;GRB14;CCL5;RBPMS2;TIGIT;BOK;PDGFRA;DGAT2;VWF;EPHX2;PDE2A;LILRB1;FOXP3;PRLR;VIL1;TLR9;CD247;PRTFDC1;MIXL1
GO_Molecular_Function_2017	integrin binding (GO:0005178)	1.455807e-02	1.891325e-01	0	0	3.304679e+00	1.397750e+01	FCER2;LAMA5;SRC;COL4A3;S1PR3;JAM3
