Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Inflammatory Response	3.415304e-04	1.468581e-02	0	0	2.725423e+00	2.175453e+01	TNFAIP6;IL10RA;ITGB3;AQP9;SERPINE1;KCNA3;GP1BA;BEST1;IL18RAP;LCK;CCL5;CLEC5A;IL2RB;FFAR2;SCN1B;CHST2;CMKLR1;SLAMF1
MSigDB_Hallmark_2020	Complement	2.061789e-03	3.107284e-02	0	0	2.429503e+00	1.502449e+01	DGKG;SERPINB2;CR1;KLK1;DOCK9;SRC;SERPINE1;PDGFB;GP1BA;PHEX;F5;GNGT2;CASP5;LCK;CCL5;CTSH
MSigDB_Hallmark_2020	Coagulation	2.438672e-03	3.107284e-02	0	0	3.176287e+00	1.910950e+01	SERPINB2;PROS1;ITGB3;SERPINE1;PDGFB;CTSH;GP1BA;A2M;PRSS23;MMP9
MSigDB_Hallmark_2020	KRAS Signaling Dn	2.890496e-03	3.107284e-02	0	0	2.899517e+00	1.695153e+01	SNN;SERPINB2;EGF;KRT1;PTPRJ;GP1BA;PDCD1;SYNPO;WNT16;TENT5C;CHST2
MSigDB_Hallmark_2020	Allograft Rejection	5.348435e-03	4.599654e-02	0	0	2.181635e+00	1.141203e+01	ITK;KRT1;PRF1;FASLG;CD3E;MMP9;NCR1;IL18RAP;CD8A;LCK;CCL5;CCL4;CD7;IL2RB;CD247;HLA-DOB
MSigDB_Hallmark_2020	heme Metabolism	1.092083e-02	7.826596e-02	0	0	2.116902e+00	9.562222e+00	MARCHF2;DMTN;ARHGEF12;SLC66A2;ENDOD1;HBB;HBD;TENT5C;ADD2;XK;SYNJ1;TRIM58;HBQ1;OSBP2
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4.219373e-02	2.591900e-01	0	0	1.784239e+00	5.647980e+00	NRP1;IL10RA;PTCH1;RORA;NDRG1;IGF2R;SELP;MYO1E;NT5E;IL2RB;TNFRSF8;CCR4;WLS
MSigDB_Hallmark_2020	UV Response Dn	5.849004e-02	3.143839e-01	0	0	1.914547e+00	5.435207e+00	TGFBR3;NRP1;FZD2;IRS1;ITGB3;SERPINE1;KCNMA1;PRKCA;LTBP1
MSigDB_Hallmark_2020	Bile Acid Metabolism	7.472515e-02	3.570201e-01	0	0	2.143711e+00	5.560656e+00	ABCD2;LCK;EPHX2;AQP9;CYP46A1;BMP6
MSigDB_Hallmark_2020	Myogenesis	1.160502e-01	4.990159e-01	0	0	1.698297e+00	3.657676e+00	GNAO1;ITGB5;FXYD1;NCAM1;KIFC3;LARGE1;MYOM2;MYLK
MSigDB_Hallmark_2020	Interferon Gamma Response	1.945023e-01	7.603270e-01	0	0	1.378484e+00	2.257008e+00	ZBP1;SELP;KLRK1;MARCHF1;TNFAIP6;IL10RA;CCL5;IL2RB;ITGB7;GPR18;CMKLR1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2.237155e-01	8.016474e-01	0	0	1.453863e+00	2.176986e+00	TGFBR3;NT5E;ITGB5;ITGB3;SERPINE1;TPM1;MYLK
MSigDB_Hallmark_2020	Angiogenesis	2.591333e-01	8.571331e-01	0	0	2.134356e+00	2.882262e+00	NRP1;PDGFA
MSigDB_Hallmark_2020	Hedgehog Signaling	2.929089e-01	8.873762e-01	0	0	1.939952e+00	2.382054e+00	NRP1;PTCH1
MSigDB_Hallmark_2020	Estrogen Response Early	3.434651e-01	8.873762e-01	0	0	1.245851e+00	1.331403e+00	ZNF185;BCL11B;MINDY1;ENDOD1;PRSS23;MYBL1;SYBU
MSigDB_Hallmark_2020	Hypoxia	3.457633e-01	8.873762e-01	0	0	1.220586e+00	1.296263e+00	TKTL1;SERPINE1;PDGFB;PRKCA;RORA;LARGE1;NDRG1;CHST2
MSigDB_Hallmark_2020	Apical Junction	3.508232e-01	8.873762e-01	0	0	1.235435e+00	1.294085e+00	IRS1;SRC;LDLRAP1;PCDH1;MMP9;JAM3;MAPK13
MSigDB_Hallmark_2020	KRAS Signaling Up	4.174592e-01	9.972635e-01	0	0	1.148903e+00	1.003646e+00	NRP1;TMEM158;MMD;IL10RA;MMP9;SCN1B;CMKLR1
MSigDB_Hallmark_2020	Glycolysis	5.230105e-01	9.998058e-01	0	0	1.039376e+00	6.736757e-01	TKTL1;NT5E;EGLN3;CHPF;CHST2;DSC2
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	5.807067e-01	9.998058e-01	0	0	9.731559e-01	5.289194e-01	SNN;SERPINB2;TNFAIP6;BCL2A1;CCL5;SERPINE1;CCL4;SLC16A6
MSigDB_Hallmark_2020	Notch Signaling	6.188219e-01	9.998058e-01	0	0	1.065000e+00	5.111337e-01	PRKCA
MSigDB_Hallmark_2020	Pperoxisome	6.232991e-01	9.998058e-01	0	0	9.392177e-01	4.439952e-01	ABCD2;ABCB4;EPHX2
MSigDB_Hallmark_2020	Mitotic Spindle	6.573657e-01	9.998058e-01	0	0	9.021287e-01	3.784563e-01	MYO1E;ARHGEF12;CDC42EP1;ARAP3;SYNPO;SEPTIN9;TUBA4A
MSigDB_Hallmark_2020	Xenobiotic Metabolism	6.657292e-01	9.998058e-01	0	0	8.862311e-01	3.605829e-01	ABCC3;ABCD2;PROS1;SERPINE1;AQP9
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	6.679359e-01	9.998058e-01	0	0	9.258208e-01	3.736271e-01	PTCH1
MSigDB_Hallmark_2020	Estrogen Response Late	6.793428e-01	9.998058e-01	0	0	8.715341e-01	3.369607e-01	ST14;LARGE1;PRSS23;PRLR;MAPK13
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	6.944597e-01	9.998058e-01	0	0	8.397056e-01	3.061744e-01	LCK;DAPP1;FASLG
MSigDB_Hallmark_2020	p53 Pathway	7.006475e-01	9.998058e-01	0	0	8.558500e-01	3.044690e-01	ST14;CDKN2B;PDGFA;STOM;NDRG1;TP63
MSigDB_Hallmark_2020	Apical Surface	7.237380e-01	9.998058e-01	0	0	7.883598e-01	2.548971e-01	IL2RB
MSigDB_Hallmark_2020	Apoptosis	7.359386e-01	9.998058e-01	0	0	8.109509e-01	2.486445e-01	TGFBR3;FEZ1;PRF1;FASLG;IGF2R
MSigDB_Hallmark_2020	Adipogenesis	7.898834e-01	9.998058e-01	0	0	7.527070e-01	1.775410e-01	BCKDHA;EPHX2;OMD;STOM;MYLK
MSigDB_Hallmark_2020	Spermatogenesis	7.955931e-01	9.998058e-01	0	0	6.747817e-01	1.543006e-01	TKTL1;JAM3
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	8.399492e-01	9.998058e-01	0	0	6.068945e-01	1.058508e-01	ITGB3;A2M
MSigDB_Hallmark_2020	Protein Secretion	8.509192e-01	9.998058e-01	0	0	5.899227e-01	9.523603e-02	DOP1A;IGF2R
MSigDB_Hallmark_2020	Androgen Response	8.660948e-01	9.998058e-01	0	0	5.661622e-01	8.139202e-02	STEAP4;NDRG1
MSigDB_Hallmark_2020	TGF-beta Signaling	8.677428e-01	9.998058e-01	0	0	4.942572e-01	7.011531e-02	SERPINE1
