,id,name,therapeuticAreas,therapeuticAreas_text,cxg_matched_id
0,EFO_0000182,hepatocellular carcinoma,"['MONDO_0045024', 'EFO_0001379', 'EFO_0010282']","['cancer or benign tumor', 'endocrine system disease', 'gastrointestinal disease']",MONDO_0007256
1,EFO_0002616,macroglobulinemia,"['OTAR_0000018', 'OTAR_0000020']","['genetic, familial or congenital disease', 'nutritional or metabolic disease']",MONDO_0005190
2,EFO_0004703,age at menarche,['EFO_0001444'],['measurement'],EFO_0004703
3,EFO_0004806,asbestos exposure measurement,['EFO_0001444'],['measurement'],EFO_0004806
4,EFO_0004867,vitamin E measurement,['EFO_0001444'],['measurement'],EFO_0004867
5,EFO_0005046,cutaneous Leishmaniasis,"['MONDO_0100336', 'EFO_0005741', 'EFO_0010285']","['infectious disease or post-infectious disorder', 'infectious disease', 'integumentary system disease']",MONDO_0005446
6,EFO_0005268,serum zinc measurement,['EFO_0001444'],['measurement'],EFO_0005268
7,EFO_0005689,non-high density lipoprotein cholesterol measurement,['EFO_0001444'],['measurement'],EFO_0005689
8,EFO_0005890,osteoarthritis biomarker measurement,['EFO_0001444'],['measurement'],EFO_0005890
9,EFO_0005921,FEV change measurement,['EFO_0001444'],['measurement'],EFO_0005921
10,EFO_0006941,grip strength measurement,['EFO_0001444'],['measurement'],EFO_0006941
11,EFO_0007061,passage number,['EFO_0001444'],['measurement'],EFO_0007061
12,EFO_0007258,ephemeral fever,['EFO_0005932'],['animal disease'],MONDO_0005750
13,EFO_0007458,pulmonary blastoma,"['OTAR_0000010', 'MONDO_0045024']","['respiratory or thoracic disease', 'cancer or benign tumor']",MONDO_0005933
14,EFO_0007602,total ventricular volume measurement,['EFO_0001444'],['measurement'],EFO_0007602
15,EFO_0007819,advanced glycation end-product measurement,['EFO_0001444'],['measurement'],EFO_0007819
16,EFO_0007986,reticulocyte count,['EFO_0001444'],['measurement'],EFO_0007986
17,EFO_0008341,snoring measurement,['EFO_0001444'],['measurement'],EFO_0008341
18,EFO_0009296,mutyh-associated polyposis,"['OTAR_0000018', 'EFO_0010282']","['genetic, familial or congenital disease', 'gastrointestinal disease']",EFO_0009296
19,EFO_0009349,Anti-herpes simplex virus 1 IgG measurement,['EFO_0001444'],['measurement'],EFO_0009349
20,EFO_0009466,Löfgren’s syndrome,['OTAR_0000010'],['respiratory or thoracic disease'],EFO_0009466
21,EFO_0009780,HER2 negative breast carcinoma,"['OTAR_0000017', 'MONDO_0045024', 'EFO_0010285']","['reproductive system or breast disease', 'cancer or benign tumor', 'integumentary system disease']",MONDO_0000618
22,EFO_0009885,frailty measurement,['EFO_0001444'],['measurement'],EFO_0009885
23,EFO_0010274,thoracic aortic artery calcification,['EFO_0000651'],['phenotype'],EFO_0010274
24,EFO_0010422,triacylglycerol 54:4 measurement,['EFO_0001444'],['measurement'],EFO_0010422
25,EFO_0010584,cancer antigen 19.9 measurement,['EFO_0001444'],['measurement'],EFO_0010584
26,EFO_0010775,colony stimulating factor 1 measurement,['EFO_0001444'],['measurement'],EFO_0010775
27,EFO_0020133,aggrecan core protein measurement,['EFO_0001444'],['measurement'],EFO_0020133
28,EFO_0020308,cytoplasmic tyrosine-protein kinase BMX measurement,['EFO_0001444'],['measurement'],EFO_0020308
29,EFO_0020371,fact complex subunit ssrp1 measurement,['EFO_0001444'],['measurement'],EFO_0020371
30,EFO_0020582,mitogen-activated protein kinase kinase kinase 7:tgf-beta-activated kinase 1 and map3k7-binding protein 1 fusion measurement,['EFO_0001444'],['measurement'],EFO_0020582
31,EFO_0020621,pancreatic hormone measurement,['EFO_0001444'],['measurement'],EFO_0020621
32,EFO_0020763,tartrate-resistant acid phosphatase type 5 measurement,['EFO_0001444'],['measurement'],EFO_0020763
33,EFO_0020828,"tyrosine-protein kinase LYN, isoform b measurement",['EFO_0001444'],['measurement'],EFO_0020828
34,EFO_0021142,gamma-glutamylphenylalanine measurement,['EFO_0001444'],['measurement'],EFO_0021142
35,EFO_0021362,X-14057 measurement,['EFO_0001444'],['measurement'],EFO_0021362
36,EFO_0021463,lysophosphatidylcholine 24:0 measurement,['EFO_0001444'],['measurement'],EFO_0021463
37,EFO_0021486,ubiquinone measurement,['EFO_0001444'],['measurement'],EFO_0021486
38,EFO_0021932,neuronal growth regulator 1 measurement,['EFO_0001444'],['measurement'],EFO_0021932
39,EFO_0021970,low affinity immunoglobulin gamma Fc region receptor II-b measurement,['EFO_0001444'],['measurement'],EFO_0021970
40,EFO_0021991,heat shock protein HSP 90-beta measurement,['EFO_0001444'],['measurement'],EFO_0021991
41,EFO_0022021,chromogranin-A measurement,['EFO_0001444'],['measurement'],EFO_0022021
42,EFO_0600021,response to dietary selenium supplementation,['GO_0008150'],['biological process'],EFO_0600021
43,EFO_0600036,muscle fiber cross-sectional area measurement,['EFO_0001444'],['measurement'],EFO_0600036
44,EFO_0800353,1-eicosapentaenoyl-GPE (20:5) measurement,['EFO_0001444'],['measurement'],EFO_0800353
45,EFO_0800780,X-17371 measurement,['EFO_0001444'],['measurement'],EFO_0800780
46,EFO_0800947,N-(2-furoyl)glycine measurement,['EFO_0001444'],['measurement'],EFO_0800947
47,EFO_0801430,BRICHOS domain-containing protein 5 measurement,['EFO_0001444'],['measurement'],EFO_0801430
48,EFO_0801571,endothelial differentiation-related factor 1 measurement,['EFO_0001444'],['measurement'],EFO_0801571
49,EFO_0801714,interleukin-1 receptor-like 2 measurement,['EFO_0001444'],['measurement'],EFO_0801714
50,EFO_0801856,nucleolin measurement,['EFO_0001444'],['measurement'],EFO_0801856
51,EFO_0801923,proenkephalin-A measurement,['EFO_0001444'],['measurement'],EFO_0801923
52,EFO_0801956,"protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 measurement",['EFO_0001444'],['measurement'],EFO_0801956
53,EFO_0802443,cystathionine beta-synthase measurement,['EFO_0001444'],['measurement'],EFO_0802443
54,EFO_0802542,fatty acid hydroxylase domain-containing protein 2 measurement,['EFO_0001444'],['measurement'],EFO_0802542
55,EFO_0802638,integrin alpha-L measurement,['EFO_0001444'],['measurement'],EFO_0802638
56,EFO_0803008,RELT-like protein 2 measurement,['EFO_0001444'],['measurement'],EFO_0803008
57,EFO_0803312,arf-GAP domain and FG repeat-containing protein 1 measurement,['EFO_0001444'],['measurement'],EFO_0803312
58,EFO_1000192,Colorectal Gastrointestinal Stromal Tumor,"['MONDO_0045024', 'EFO_0010282']","['cancer or benign tumor', 'gastrointestinal disease']",MONDO_0006159
59,EFO_1000664,acrodermatitis,['EFO_0010285'],['integumentary system disease'],MONDO_0006523
60,EFO_1000907,duodenal benign neoplasm,"['MONDO_0045024', 'EFO_0010282']","['cancer or benign tumor', 'gastrointestinal disease']",MONDO_0006734
61,EFO_1001011,lateral medullary syndrome,"['EFO_0000618', 'EFO_0000319']","['nervous system disease', 'cardiovascular disease']",MONDO_0006827
62,EFO_1001146,reflex epilepsy,['EFO_0000618'],['nervous system disease'],MONDO_0017768
63,EFO_1001161,rheumatic heart disease,['EFO_0000319'],['cardiovascular disease'],MONDO_0006955
64,EFO_1001255,spontaneous abortion,['OTAR_0000017'],['reproductive system or breast disease'],EFO_1001255
65,EFO_1001983,Autosomal recessive Charcot Marie Tooth disease type 2X,"['OTAR_0000018', 'EFO_0000618']","['genetic, familial or congenital disease', 'nervous system disease']",MONDO_0014726
66,GO_0009124,nucleoside monophosphate biosynthetic process,['GO_0008150'],['biological process'],GO_0009124
67,GO_0044057,regulation of system process,['GO_0008150'],['biological process'],GO_0044057
68,HP_0000307,Pointed chin,['EFO_0000651'],['phenotype'],HP_0000307
69,HP_0000598,Abnormality of the ear,['EFO_0000651'],['phenotype'],HP_0000598
70,HP_0000733,Motor stereotypy,['EFO_0000651'],['phenotype'],HP_0000733
71,HP_0000746,Delusions,['EFO_0000651'],['phenotype'],HP_0000746
72,HP_0001520,Large for gestational age,['EFO_0000651'],['phenotype'],HP_0001520
73,HP_0001800,Hypoplastic toenails,['EFO_0000651'],['phenotype'],HP_0001800
74,HP_0001877,Abnormal erythrocyte morphology,['EFO_0000651'],['phenotype'],HP_0001877
75,HP_0002127,Abnormal upper motor neuron morphology,['EFO_0000651'],['phenotype'],HP_0002127
76,HP_0003073,Hypoalbuminemia,['EFO_0000651'],['phenotype'],HP_0003073
77,HP_0004467,Preauricular pit,['EFO_0000651'],['phenotype'],HP_0004467
78,HP_0004691,2-3 toe syndactyly,['EFO_0000651'],['phenotype'],HP_0004691
79,HP_0007328,Impaired pain sensation,['EFO_0000651'],['phenotype'],HP_0007328
80,HP_0007830,Adult-onset night blindness,['EFO_0000651'],['phenotype'],HP_0007830
81,HP_0031826,Abnormal reflex,['EFO_0000651'],['phenotype'],HP_0031826
82,MONDO_0000463,Ochoa syndrome,['OTAR_0000018'],"['genetic, familial or congenital disease']",MONDO_0000463
83,MONDO_0000733,cornea plana,"['OTAR_0000018', 'MONDO_0024458']","['genetic, familial or congenital disease', 'disorder of visual system']",MONDO_0000733
84,MONDO_0001705,pure red-cell aplasia,['EFO_0005803'],['hematologic disease'],MONDO_0001705
85,MONDO_0001724,supraglottis cancer,"['OTAR_0000010', 'MONDO_0045024']","['respiratory or thoracic disease', 'cancer or benign tumor']",MONDO_0001724
86,MONDO_0001903,calcific tendinitis,"['OTAR_0000006', 'EFO_0000540']","['musculoskeletal or connective tissue disease', 'immune system disease']",MONDO_0001903
