,targetId_diseaseId,affected_pathway,animal_model,genetic_association,known_drug,literature,rna_expression,somatic_mutation,drugId,targetId,approvedSymbol,diseaseId,label,phase,drugType,mechanismOfAction,id,name,therapeuticAreas,tissue_general,n_donors,disease_name,disease_ontology_id,targetId_diseaseId_CHEMBL
18779,ENSG00000121361_MONDO_0005148,0.0,0.0,0.041943432845264424,0.6594360457426056,0.03343619386863916,0.0,0.0,CHEMBL181,ENSG00000121361,KCNJ8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Potassium channel, inwardly rectifying, subfamily J, member 8 opener",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000121361_MONDO_0005148_CHEMBL181
17237,ENSG00000006071_MONDO_0005148,0.0,0.7944042245182669,0.8888781169449483,0.998509069877539,0.27697245880472443,0.0,0.6189714963749121,CHEMBL1481,ENSG00000006071,ABCC8,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000006071_MONDO_0005148_CHEMBL1481
21538,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL2107869,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL2107869
21541,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201538,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201538
21545,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201631,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201631
21551,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201540,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201540
17242,ENSG00000007171_MONDO_0005148,0.0,0.0,0.6282457863754711,0.607930797611621,0.161736584873008,0.0,0.0,CHEMBL256147,ENSG00000007171,NOS2,MONDO_0005148,type 2 diabetes mellitus,4,Small molecule,Nitric oxide synthase inhibitor,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000007171_MONDO_0005148_CHEMBL256147
17262,ENSG00000010310_MONDO_0005148,0.0,0.6421826319670558,0.5811795498737627,0.850602922863134,0.11200535409823416,0.0,0.0,CHEMBL4297839,ENSG00000010310,GIPR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Gastric inhibitory polypeptide receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000010310_MONDO_0005148_CHEMBL4297839
21508,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201497,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",vasculature,2,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201497
21529,ENSG00000171105_MONDO_0005148,0.0,0.556234726758053,0.6198257923280048,0.9990218117083446,0.48996880209398647,0.0,0.19453785523571876,CHEMBL1201613,ENSG00000171105,INSR,MONDO_0005148,type 2 diabetes mellitus,4,Protein,Insulin receptor agonist,MONDO_0005148,type 2 diabetes mellitus,"['EFO_0001379', 'EFO_0009605', 'OTAR_0000020', 'EFO_0010282']",kidney,5,type 2 diabetes mellitus,MONDO_0005148,ENSG00000171105_MONDO_0005148_CHEMBL1201613
