gene_name,ct_marker_evidence_blood,ct_marker_evidence_bone_marrow,ct_marker_evidence_heart,ct_marker_evidence_kidney,ct_marker_evidence_liver,ct_marker_evidence_lung,ct_marker_evidence_lymph_node
A1BG,0.0,1.0,,0.0,0.0,0.0,1.0
A1BG-AS1,,,,0.0,,,
A1CF,,,,0.0,0.0,,
A2M,0.0,,0.0,0.0,0.0,1.0,0.0
A2M-AS1,0.0,0.0,0.0,0.0,,0.0,0.0
A2ML1,,,0.0,,,0.0,
A2ML1-AS1,,,,0.0,,,
A4GALT,,1.0,0.0,0.0,0.0,0.0,0.0
A4GNT,,,,,1.0,,
AAAS,,0.0,,,0.0,0.0,0.0
AACS,,0.0,0.0,0.0,,,0.0
AADAC,,,,,0.0,0.0,
AADAT,,0.0,,0.0,,0.0,
AAGAB,,0.0,,,,0.0,0.0
AAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAMDC,0.0,0.0,,0.0,0.0,0.0,0.0
AAMP,0.0,,,,,,0.0
AAR2,,,,0.0,,,
AARD,,,,,,0.0,
AARS2,,,,,0.0,,0.0
AARSD1,,,,,,,0.0
AASDH,,,,,0.0,,0.0
AASDHPPT,,0.0,,,0.0,,
AASS,,,0.0,0.0,1.0,0.0,
AATBC,,0.0,,,,,0.0
AATF,,,0.0,0.0,0.0,,
AATK,,0.0,0.0,0.0,,0.0,0.0
ABALON,0.0,,,,,,
ABAT,,0.0,,0.0,0.0,,
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA10,,,0.0,0.0,0.0,1.0,1.0
ABCA13,0.0,1.0,,0.0,,0.0,
ABCA2,0.0,0.0,0.0,0.0,,0.0,
ABCA3,,,0.0,0.0,,1.0,0.0
ABCA4,,,,0.0,,,0.0
ABCA5,,,0.0,1.0,0.0,0.0,0.0
ABCA6,0.0,,1.0,0.0,0.0,0.0,
ABCA7,,,0.0,0.0,0.0,0.0,0.0
ABCA8,,,1.0,1.0,0.0,0.0,1.0
ABCA9,,,1.0,0.0,0.0,0.0,0.0
ABCA9-AS1,,,0.0,0.0,,,
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10,,0.0,,0.0,,0.0,
ABCB11,,,,,0.0,,
ABCB4,0.0,1.0,,,1.0,1.0,0.0
ABCB5,1.0,,,0.0,,,
ABCB6,,0.0,,,,,
ABCB7,,,,,0.0,,
ABCB8,,0.0,,,0.0,,
ABCB9,0.0,0.0,,0.0,1.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,,,,0.0,0.0,,
ABCC3,0.0,0.0,0.0,0.0,0.0,0.0,
ABCC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,,,0.0,0.0,0.0,0.0,
ABCC8,,,,0.0,,0.0,
ABCC9,,,0.0,0.0,0.0,0.0,
ABCD1,0.0,,,0.0,0.0,0.0,0.0
ABCD2,0.0,0.0,0.0,0.0,,,0.0
ABCD3,,0.0,0.0,0.0,,,
ABCD4,,,,0.0,,,0.0
ABCE1,,,,,,0.0,
ABCF1,,0.0,,,,,0.0
ABCF3,,0.0,,,,,
ABCG1,,0.0,,0.0,0.0,0.0,0.0
ABCG2,1.0,0.0,,0.0,0.0,0.0,0.0
ABCG5,,,,,0.0,,
ABCG8,,0.0,,,,,
ABHD11,,,,0.0,0.0,0.0,
ABHD12,,0.0,,,0.0,0.0,
ABHD12B,,1.0,,,,,
ABHD13,,,,0.0,,,
ABHD14A,0.0,,,0.0,0.0,,
ABHD14B,0.0,,,0.0,,,
ABHD15,0.0,0.0,,0.0,0.0,0.0,0.0
ABHD15-AS1,,1.0,0.0,0.0,,,
ABHD16A,,,,,,0.0,
ABHD17A,0.0,0.0,,0.0,0.0,,0.0
ABHD17B,0.0,0.0,0.0,,0.0,0.0,
ABHD17C,,1.0,,,,0.0,
ABHD18,0.0,0.0,,0.0,,0.0,
ABHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD3,0.0,0.0,,0.0,,,
ABHD4,0.0,,0.0,,,0.0,
ABHD5,0.0,0.0,0.0,0.0,,0.0,
ABHD6,0.0,0.0,,,,0.0,
ABHD8,,,,,0.0,,
ABI1,,0.0,,,0.0,,
ABI2,,,,0.0,0.0,0.0,
ABI3,0.0,0.0,,0.0,1.0,0.0,0.0
ABI3BP,,,0.0,0.0,0.0,1.0,0.0
ABL1,,0.0,0.0,0.0,0.0,0.0,
ABL2,,,,,0.0,0.0,
ABLIM1,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ABLIM2,,,0.0,0.0,0.0,0.0,
ABLIM3,0.0,,0.0,0.0,0.0,0.0,0.0
ABO,0.0,0.0,,0.0,,0.0,
ABR,,,0.0,0.0,0.0,0.0,0.0
ABRA,,,0.0,,,,
ABRACL,0.0,0.0,,0.0,0.0,0.0,0.0
ABRAXAS2,0.0,,,,,,
ABT1,,,,0.0,,,
ABTB1,,0.0,0.0,0.0,0.0,,0.0
ABTB2,,,0.0,0.0,0.0,0.0,
AC000068.10,,,,,0.0,,
AC002064.5,,,1.0,,,,
AC002066.1,,,0.0,0.0,,,
AC002117.1,,,,0.0,0.0,,
AC002306.1,,0.0,,,,,
AC002310.12,,,0.0,,,,
AC002451.3,,,,,0.0,,
AC002463.3,,,0.0,,,,
AC002539.1,,,,0.0,,,
AC002550.5,,,,0.0,,,
AC003075.4,,,,0.0,,,
AC003090.1,,,0.0,1.0,,,
AC003984.1,,,,0.0,,,
AC003991.3,,,0.0,0.0,0.0,,
AC004009.3,,,,1.0,,,
AC004069.2,,,,,0.0,,
AC004076.5,,,,0.0,,,
AC004160.4,,,,,0.0,,
AC004381.7,,,0.0,,,,
AC004448.5,,,0.0,,,,
AC004485.3,,,,0.0,,,
AC004540.4,,,,0.0,0.0,,
AC004540.5,,,,0.0,,,
AC004901.1,,,,0.0,,,
AC004951.6,,,,,0.0,,
AC005082.12,,,,0.0,,,
AC005253.2,,,,,0.0,,
AC005523.2,,,,,,,0.0
AC005609.16,,,,0.0,,,
AC005614.3,,,,,0.0,,
AC005616.2,,,,1.0,,,
AC005780.1,,,,1.0,,,
AC005786.7,,,0.0,,,,
AC006129.2,,,,0.0,0.0,,
AC006160.5,,,0.0,,,,
AC006273.4,,,,1.0,,,
AC006277.2,,,,,0.0,,
AC006369.2,0.0,0.0,0.0,0.0,0.0,,0.0
AC006460.2,,,0.0,0.0,,,
AC007040.11,,,,0.0,,,
AC007098.1,,,0.0,,,,
AC007193.10,,,0.0,0.0,,,
AC007292.3,,,,1.0,0.0,,
AC007292.6,,,,1.0,,,
AC007319.1,,,0.0,0.0,0.0,,
AC007383.3,,,,,0.0,,0.0
AC007383.4,,,,0.0,,,
AC007405.4,,,,0.0,,,
AC007405.6,,,,0.0,,,
AC007563.5,,,,0.0,,,
AC007682.1,,,0.0,0.0,,,
AC007879.5,,,0.0,0.0,,,
AC007950.2,0.0,,,,,,
AC007952.4,1.0,0.0,,,,,0.0
AC008440.5,,,0.0,,,,
AC008592.7,,,0.0,,,,
AC008697.1,,,0.0,0.0,,,
AC008937.2,,,0.0,,,,
AC009120.10,,,,0.0,,,
AC009133.12,,,,0.0,,,
AC009133.17,,,,,1.0,,
AC009264.1,,,0.0,,,,
AC009478.1,,,,0.0,,,
AC009480.3,,,,,0.0,,
AC009495.2,1.0,1.0,,,,,
AC009495.3,0.0,,,,,,
AC009506.1,0.0,0.0,,,,,
AC009784.3,,,,0.0,,,
AC009950.2,,,0.0,0.0,,,
AC009961.3,,,0.0,,0.0,,
AC010084.1,,,0.0,0.0,0.0,,
AC010149.4,,,,0.0,,,
AC010967.2,,,0.0,0.0,,,
AC010976.2,,,,,0.0,,
AC010987.5,,,,0.0,,,
AC011288.2,,,0.0,0.0,,,
AC011523.2,,,,0.0,,,
AC012358.8,,,0.0,,,,
AC012360.6,,,0.0,0.0,,,
AC012593.1,,,,1.0,,,
AC013463.2,,,0.0,1.0,,,
AC013472.4,,,,0.0,,,
AC016735.1,,1.0,,,,,
AC016768.1,,,,0.0,,,
AC018647.3,,,,1.0,,,
AC018816.3,,,0.0,0.0,,,
AC018890.6,,,0.0,0.0,,,
AC021218.2,,,,,0.0,,
AC022007.5,,,,1.0,,,
AC022182.1,,0.0,1.0,,,,0.0
AC022182.3,,,,1.0,0.0,,
AC023590.1,0.0,0.0,0.0,0.0,0.0,,0.0
AC024084.1,,,,1.0,,,
AC024560.2,,,,0.0,,,
AC026167.1,,,,0.0,,,
AC026202.3,1.0,,,0.0,0.0,,1.0
AC027119.1,,,,0.0,,,
AC034243.1,,,,0.0,,,
AC037445.1,,,0.0,,,,
AC058791.1,0.0,0.0,,0.0,,,0.0
AC061992.2,,,,0.0,,,
AC067959.1,,,0.0,0.0,,,
AC068499.10,,,,0.0,,,
AC069368.3,,,,0.0,,,
AC073218.3,,,,0.0,,,
AC073254.1,,,,,,,0.0
AC073934.6,,,,1.0,,,
AC074117.10,,,,,0.0,,
AC074289.1,,,0.0,,0.0,,
AC074363.1,,,0.0,0.0,,,
AC079135.1,,,0.0,0.0,,,
AC079305.10,,,,,0.0,,
AC079305.11,,,,0.0,,,
AC083843.1,,,,,,,1.0
AC084809.3,,,,,0.0,,
AC087294.2,,,,,0.0,,
AC091199.1,,,,1.0,,,
AC092155.4,,,,0.0,0.0,,
AC092657.2,,,,1.0,,,
AC092684.1,,,0.0,,,,
AC092835.2,,,,0.0,,,
AC093110.3,,,0.0,,,,
AC093323.3,,,,,0.0,,
AC093382.1,,,,,0.0,,
AC093673.5,,,,0.0,,,
AC093690.1,,,,1.0,,,
AC093802.1,,,,1.0,,,
AC093818.1,,,0.0,0.0,0.0,,
AC096558.1,,,1.0,,,,
AC097721.2,,,,0.0,,,
AC097724.3,,,0.0,0.0,,,
AC099850.1,,0.0,,,,,
AC100830.3,,,0.0,,0.0,,
AC103563.8,,,,0.0,,,
AC104024.1,1.0,1.0,,1.0,1.0,,1.0
AC104532.4,,,,,0.0,,
AC104653.1,,,,1.0,,,
AC106801.1,,,,,,,1.0
AC107218.3,,,0.0,0.0,,,
AC108488.4,,,,,0.0,,
AC108938.5,,,,1.0,,,
AC114730.5,,,,,0.0,,
AC114763.1,,1.0,,,,,
AC114765.1,,,0.0,,,,
AC114812.8,,,,0.0,,,
AC124861.1,,,,0.0,,,
AC131056.3,,,,1.0,0.0,,
AC133680.1,,,,0.0,,,
AC140912.1,,,0.0,,1.0,,
AC144831.1,,,,,0.0,,1.0
AC147651.1,1.0,,,,,,
AC159540.1,,,0.0,0.0,0.0,,
AC226118.1,,,,1.0,,,
ACAA1,,0.0,,0.0,0.0,,
ACAA2,0.0,0.0,,0.0,0.0,,
ACACA,,,0.0,0.0,,0.0,0.0
ACACB,,,1.0,0.0,1.0,,
ACAD10,,,,,0.0,,
ACAD11,0.0,,,0.0,0.0,,
ACAD8,,0.0,,,,,0.0
ACAD9,0.0,0.0,,0.0,,,
ACADL,,,0.0,0.0,0.0,0.0,
ACADM,,0.0,,0.0,0.0,0.0,0.0
ACADS,0.0,0.0,,0.0,,,
ACADSB,0.0,,,0.0,0.0,,0.0
ACADVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAN,,,,1.0,,1.0,
ACAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAP2,0.0,0.0,,0.0,,,0.0
ACAP3,,0.0,,0.0,0.0,,
ACAT1,,,0.0,0.0,0.0,0.0,0.0
ACAT2,0.0,,,,0.0,0.0,
ACBD3,0.0,0.0,,,0.0,,0.0
ACBD4,0.0,0.0,,,,,
ACBD5,0.0,,,0.0,0.0,,0.0
ACBD6,,,,0.0,,,
ACCS,,,,0.0,,,
ACD,0.0,,,0.0,0.0,,
ACE,,,,0.0,0.0,0.0,0.0
ACE2,,,0.0,0.0,0.0,,
ACER2,,0.0,0.0,0.0,0.0,,
ACER3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACHE,,0.0,,0.0,0.0,0.0,
ACKR1,,0.0,1.0,0.0,,1.0,1.0
ACKR2,,,,,0.0,1.0,
ACKR3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKR4,,,0.0,,,,0.0
ACLY,0.0,0.0,0.0,0.0,,,0.0
ACMSD,,,,0.0,0.0,,
ACO1,0.0,,0.0,0.0,0.0,0.0,
ACO2,,,0.0,0.0,0.0,,
ACOD1,0.0,,,,,,
ACOT1,,,,,,0.0,
ACOT11,,0.0,0.0,0.0,0.0,,
ACOT13,0.0,,,,0.0,0.0,
ACOT2,,,,0.0,,,
ACOT4,,0.0,,,,0.0,
ACOT7,0.0,0.0,,0.0,0.0,0.0,0.0
ACOT8,,,,,0.0,,0.0
ACOT9,0.0,,,0.0,0.0,0.0,0.0
ACOX1,0.0,,,,0.0,,
ACOX2,,,,,,0.0,
ACOX3,,,0.0,,,0.0,
ACOXL,,0.0,,0.0,0.0,0.0,
ACP1,,0.0,,0.0,,,
ACP2,,0.0,,,,0.0,0.0
ACP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP6,,0.0,,,,0.0,
ACRBP,0.0,,0.0,,0.0,,0.0
ACSBG1,0.0,0.0,0.0,,,,1.0
ACSF2,0.0,0.0,0.0,0.0,0.0,0.0,
ACSF3,0.0,0.0,,,0.0,,
ACSL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACSL3,,,,0.0,,0.0,0.0
ACSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL5,,0.0,,0.0,,,0.0
ACSL6,0.0,0.0,,0.0,0.0,0.0,
ACSM1,,,0.0,0.0,0.0,,
ACSM2A,,,,1.0,0.0,,
ACSM2B,,,,1.0,,,
ACSM3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACSM5,,,0.0,,0.0,,
ACSS1,,0.0,,0.0,,,
ACSS2,,,0.0,,0.0,0.0,0.0
ACSS3,,,0.0,0.0,0.0,0.0,
ACTA1,,,1.0,,,,
ACTA2,0.0,0.0,1.0,1.0,0.0,1.0,0.0
ACTB,0.0,0.0,1.0,0.0,1.0,1.0,1.0
ACTBL2,,,,,,0.0,
ACTC1,,,1.0,1.0,,,
ACTG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTG2,,,0.0,1.0,1.0,1.0,
ACTL6A,,0.0,,,,,0.0
ACTL7B,,0.0,,,,,
ACTN1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACTN2,,,0.0,,,0.0,
ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR10,,,,,0.0,,
ACTR1A,0.0,,,,,,0.0
ACTR1B,0.0,,,,0.0,,
ACTR2,0.0,0.0,0.0,,0.0,0.0,
ACTR3,0.0,0.0,0.0,0.0,,0.0,0.0
ACTR3B,,0.0,,,0.0,,0.0
ACTR3C,,,,0.0,,0.0,
ACTR5,,,,0.0,0.0,,
ACTR6,,,,0.0,0.0,,
ACTR8,,,,,,,0.0
ACVR1,,0.0,,0.0,0.0,,
ACVR1B,0.0,0.0,,0.0,0.0,0.0,
ACVR1C,,,0.0,,,,
ACVR2A,0.0,,,,,,
ACVR2B,,,,,0.0,0.0,0.0
ACVR2B-AS1,,,,,1.0,,
ACVRL1,,,,0.0,0.0,0.0,0.0
ACY1,,0.0,,0.0,,,
ACY3,1.0,1.0,,0.0,0.0,1.0,1.0
ACYP1,0.0,0.0,,0.0,0.0,0.0,0.0
ACYP2,,0.0,0.0,0.0,0.0,0.0,
ADA,0.0,0.0,,0.0,,0.0,0.0
ADA2,0.0,,,,,,
ADAL,,,,,,0.0,
ADAM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM12,0.0,0.0,0.0,0.0,,0.0,0.0
ADAM15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM17,,,0.0,0.0,0.0,0.0,0.0
ADAM19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM2,,,,1.0,,,
ADAM22,,0.0,,0.0,,,0.0
ADAM23,0.0,1.0,0.0,0.0,,0.0,1.0
ADAM28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ADAM33,1.0,,0.0,0.0,,0.0,0.0
ADAM8,0.0,0.0,,0.0,0.0,0.0,0.0
ADAM9,,0.0,,0.0,0.0,0.0,0.0
ADAMDEC1,,,,1.0,,1.0,
ADAMTS1,,0.0,0.0,0.0,1.0,0.0,
ADAMTS10,0.0,,0.0,0.0,0.0,,
ADAMTS12,,,0.0,0.0,,0.0,
ADAMTS13,,,,0.0,0.0,,
ADAMTS15,,,0.0,0.0,,0.0,
ADAMTS16,,,,1.0,,,
ADAMTS17,,,0.0,0.0,0.0,0.0,0.0
ADAMTS18,,,,0.0,,,1.0
ADAMTS19,,,,1.0,,,
ADAMTS2,0.0,0.0,1.0,0.0,1.0,0.0,
ADAMTS3,,,0.0,0.0,0.0,0.0,
ADAMTS4,,1.0,0.0,1.0,0.0,0.0,0.0
ADAMTS5,,,0.0,0.0,,0.0,
ADAMTS6,0.0,0.0,0.0,0.0,0.0,0.0,
ADAMTS7,,,0.0,,,,
ADAMTS8,,,0.0,0.0,,0.0,
ADAMTS9,,,1.0,0.0,0.0,0.0,0.0
ADAMTS9-AS1,,,0.0,0.0,,0.0,
ADAMTS9-AS2,,,0.0,0.0,1.0,0.0,0.0
ADAMTSL1,,,0.0,0.0,1.0,0.0,
ADAMTSL2,,,0.0,0.0,0.0,0.0,
ADAMTSL3,,,0.0,0.0,,0.0,
ADAMTSL4,0.0,0.0,,0.0,0.0,0.0,0.0
ADAMTSL5,,0.0,,,,,
ADAP1,,,,0.0,,,0.0
ADAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAR,,,0.0,,,,0.0
ADARB1,,0.0,,0.0,,0.0,0.0
ADARB2,0.0,,,0.0,,0.0,
ADAT1,,,,,,,0.0
ADAT2,0.0,,,0.0,,,
ADAT3,0.0,,,,,,
ADCK1,,,,,0.0,,
ADCK2,0.0,,,0.0,,,
ADCY1,,,,0.0,,,
ADCY10,,,,,0.0,,
ADCY2,,,,0.0,,0.0,
ADCY3,,0.0,0.0,0.0,0.0,0.0,0.0
ADCY4,,,0.0,0.0,0.0,0.0,
ADCY5,,,0.0,0.0,,0.0,
ADCY6,1.0,0.0,0.0,0.0,0.0,,
ADCY7,,,0.0,0.0,0.0,0.0,
ADCY8,,,,0.0,,,
ADCY9,,,,0.0,0.0,0.0,
ADCYAP1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ADD1,0.0,0.0,0.0,0.0,0.0,0.0,
ADD2,0.0,1.0,,,0.0,0.0,
ADD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGB,,1.0,,,,0.0,
ADGRA2,,,,0.0,,0.0,
ADGRA3,,0.0,0.0,0.0,,0.0,
ADGRB1,1.0,,,,,,
ADGRB2,,,,0.0,,,
ADGRB3,,,1.0,1.0,,0.0,
ADGRD1,,1.0,0.0,0.0,,0.0,0.0
ADGRE1,0.0,0.0,0.0,0.0,,0.0,
ADGRE2,0.0,0.0,0.0,0.0,,0.0,0.0
ADGRE3,0.0,0.0,,0.0,,,
ADGRE5,0.0,0.0,0.0,0.0,,0.0,0.0
ADGRF1,,,,0.0,,0.0,
ADGRF5,,,0.0,1.0,,0.0,0.0
