,odds_ratio,ci_low,ci_high,pval,n_success,n_insuccess,n_supported_approved,n_supported,evidence,clinical_status,universe
0,2.1544219017669484,1.8744525318921168,2.473340548962676,4.302823920215894e-25,888.0,124112.0,337.0,27780.0,Cell type specific,Phase I,HVGs
0,1.4307373964784806,1.126991100568097,1.8203859947560257,0.0038395461589906866,888.0,511.0,337.0,490.0,Cell type specific,Phase I,active_HVGs
0,3.9030408337104516,2.7568539845116495,5.385575688770727,2.8438025427736883e-11,888.0,124112.0,40.0,1522.0,"Genetic evidence
(Open Targets)",Phase I,HVGs
0,0.6619680984323913,0.4024997370516873,1.0940250054287852,0.9667092458982337,888.0,511.0,40.0,74.0,"Genetic evidence
(Open Targets)",Phase I,active_HVGs
0,0.9497889055516008,0.5781212122226558,1.5843828337381658,0.786840758852764,888.0,124112.0,48.0,77.0,"Genetic evidence
(Minikel et al.)",Phase I,HVGs
0,0.9497889055516008,0.5781212122226558,1.5843828337381658,0.786840758852764,888.0,511.0,48.0,77.0,"Genetic evidence
(Minikel et al.)",Phase I,active_HVGs
0,2.2728469200642394,1.9365785198395893,2.6638261703953994,3.7863587994820134e-22,665.0,124335.0,261.0,27780.0,Cell type specific,Phase II,HVGs
0,1.4243097743053663,1.1357631257738912,1.7871464806516648,0.002948194884784566,665.0,734.0,261.0,490.0,Cell type specific,Phase II,active_HVGs
0,3.751619812142689,2.4832322492917944,5.4639227975643045,3.8757439684746456e-08,665.0,124335.0,29.0,1522.0,"Genetic evidence
(Open Targets)",Phase II,HVGs
0,0.6983247462054816,0.4167258870358783,1.1541219508665328,0.9667092458982337,665.0,734.0,29.0,74.0,"Genetic evidence
(Open Targets)",Phase II,active_HVGs
0,0.9154016539934039,0.5596252689383127,1.48943191161278,0.786840758852764,665.0,124335.0,35.0,77.0,"Genetic evidence
(Minikel et al.)",Phase II,HVGs
0,0.9154016539934039,0.5596252689383127,1.48943191161278,0.786840758852764,665.0,734.0,35.0,77.0,"Genetic evidence
(Minikel et al.)",Phase II,active_HVGs
0,2.3775166490923056,1.7595639328977022,3.1980954659931085,5.165288233946652e-08,193.0,124807.0,78.0,27780.0,Cell type specific,Phase III,HVGs
0,1.3068766256370021,0.9437811470375597,1.802966445475534,0.11932908190393754,193.0,1206.0,78.0,490.0,Cell type specific,Phase III,active_HVGs
0,5.900946381248839,3.074907871931834,10.379965548158745,3.5742417511931463e-06,193.0,124807.0,13.0,1522.0,"Genetic evidence
(Open Targets)",Phase III,HVGs
0,1.3553219162665522,0.6690653754185781,2.557147825734378,0.3868353543420814,193.0,1206.0,13.0,74.0,"Genetic evidence
(Open Targets)",Phase III,active_HVGs
0,1.1636584692566225,0.5607024146352891,2.22789201439815,0.5728104250767444,193.0,124807.0,12.0,77.0,"Genetic evidence
(Minikel et al.)",Phase III,HVGs
0,1.1636584692566225,0.5607024146352891,2.22789201439815,0.5728104250767444,193.0,1206.0,12.0,77.0,"Genetic evidence
(Minikel et al.)",Phase III,active_HVGs
0,1.5863799436895671,0.9858785649755911,2.497130198596681,0.06882805087731936,93.0,124907.0,29.0,27780.0,Cell type specific,Launched,HVGs
0,0.8306727727701149,0.5085914889181965,1.3288848391690313,0.8943671951187786,93.0,1306.0,29.0,490.0,Cell type specific,Launched,active_HVGs
0,7.670335398085062,3.202243783387741,15.847928590516094,6.635056312858067e-05,93.0,124907.0,8.0,1522.0,"Genetic evidence
(Open Targets)",Launched,HVGs
0,1.7673743197765597,0.7092707912985584,3.853216767883807,0.22379724143895172,93.0,1306.0,8.0,74.0,"Genetic evidence
(Open Targets)",Launched,active_HVGs
0,1.1994440760826952,0.41417443201269255,2.852839764321014,0.5728104250767444,93.0,124907.0,6.0,77.0,"Genetic evidence
(Minikel et al.)",Launched,HVGs
0,1.1994440760826952,0.41417443201269255,2.852839764321014,0.5728104250767444,93.0,1306.0,6.0,77.0,"Genetic evidence
(Minikel et al.)",Launched,active_HVGs
