,ti_uid,indication_mesh_term,gene_name,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,disease_relevant_tissues,dtr_blood,dtr_lymph_node,dtr_bone_marrow,dtr_lung,dtr_nose,dtr_eye,dtr_small_intestine,dtr_esophagus,dtr_colon,dtr_liver,dtr_skin,dtr_heart,dtr_brain,dtr_kidney,dtr_prostate,gene_id
0,A2M-D002545,Brain Ischemia,A2M,Phase III,True,True,True,False,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000175899
1,A2M-D016491,Peripheral Vascular Diseases,A2M,Phase III,True,True,True,False,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000175899
2,A2M-D020521,Stroke,A2M,Phase III,True,True,True,False,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000175899
3,AADAT-D012559,Schizophrenia,AADAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000109576
4,AAK1-D009437,Neuralgia,AAK1,Phase II,True,True,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000115977
5,AAK1-D051474,"Neuralgia, Postherpetic",AAK1,Phase II,True,True,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000115977
6,ABAT-D000544,Alzheimer Disease,ABAT,Phase II,True,True,False,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
7,ABAT-D000690,Amyotrophic Lateral Sclerosis,ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
8,ABAT-D004827,Epilepsy,ABAT,Preclinical,,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
9,ABAT-D004828,"Epilepsies, Partial",ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
10,ABAT-D009103,Multiple Sclerosis,ABAT,Preclinical,False,,,,unsupported target,"blood,lymph_node,bone_marrow,brain",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
11,ABAT-D009293,Opioid-Related Disorders,ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
12,ABAT-D009437,Neuralgia,ABAT,Preclinical,,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
13,ABAT-D010300,Parkinson Disease,ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
14,ABAT-D013036,"Spasms, Infantile",ABAT,Launched,True,True,True,True,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
15,ABAT-D013313,"Stress Disorders, Post-Traumatic",ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
16,ABAT-D019970,Cocaine-Related Disorders,ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
17,ABAT-D020820,Dyskinesias,ABAT,Preclinical,False,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000183044
18,ABCA1-D000544,Alzheimer Disease,ABCA1,Preclinical,,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000165029
19,ABCA1-D002545,Brain Ischemia,ABCA1,Preclinical,False,,,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000165029
20,ABCA1-D006333,Heart Failure,ABCA1,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000165029
21,ABCA1-D008060,Lipodystrophy,ABCA1,Phase II,True,True,False,,unsupported target,skin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ENSG00000165029
22,ABCA1-D008103,Liver Cirrhosis,ABCA1,Phase III,True,True,True,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000165029
23,ABCA1-D009203,Myocardial Infarction,ABCA1,Preclinical,False,,,,unsupported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000165029
24,ABCA1-D020521,Stroke,ABCA1,Preclinical,False,,,,unsupported target,"heart,brain",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ENSG00000165029
25,ABCA1-D020961,Lewy Body Disease,ABCA1,Preclinical,,,,,unsupported target,brain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ENSG00000165029
26,ABCA1-D042882,Gallstones,ABCA1,Phase II,True,True,False,,unsupported target,"small_intestine,esophagus,colon",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,ENSG00000165029
27,ABCA1-D050197,Atherosclerosis,ABCA1,Preclinical,,,,,genetically supported target,heart,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ENSG00000165029
28,ABCA1-D065626,Non-alcoholic Fatty Liver Disease,ABCA1,Phase III,True,True,True,,unsupported target,liver,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ENSG00000165029
