,drugName,drugid,description,drugtype,maxPhase,withdrawn,blackBox,approvalYear,list_targets,list_diseases,has_any_sc_evidence,has_any_genetic_evidence,num_indications,mechanism,action_type,target_type
0,DESLORATADINE,CHEMBL1172,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2001 and has 4 approved and 10 investigational indications.,,4.0,,False,2001,['ENSG00000196639'],"['EFO_0007214', 'EFO_0005531', 'EFO_0005854', 'MONDO_0002406', 'HP_0000964', 'EFO_0007141', 'HP_0000989', 'EFO_1001417', 'EFO_0003060', 'MONDO_0005271', 'EFO_0008520', 'Orphanet_79292', 'EFO_0003956', 'EFO_0000274']",True,False,14,Histamine H1 receptor antagonist ,ANTAGONIST ,single protein 
1,CETRORELIX,CHEMBL1200490,Protein drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2000 and has 7 investigational indications.,,4.0,,False,2000,['ENSG00000109163'],"['EFO_0000545', 'MONDO_0011972', 'EFO_0000685', 'EFO_0001065', 'EFO_0000284', 'EFO_0000545', 'EFO_0000660']",False,False,7,Gonadotropin-releasing hormone receptor antagonist ,ANTAGONIST ,single protein 
2,ZIDOVUDINE,CHEMBL129,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1987 and has 4 approved and 17 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1987,[],"['EFO_0000558', 'MONDO_0018076', 'EFO_0007448', 'EFO_0002950', 'MONDO_0019471', 'MONDO_0015564', 'EFO_0007527', 'HP_0002014', 'EFO_0002608', 'EFO_1001365', 'EFO_1001486', 'EFO_0000764', 'EFO_0000180', 'EFO_0007137', 'EFO_0000763', 'EFO_0000765', 'MONDO_0100096', 'EFO_0000544', 'MONDO_0015974', 'MONDO_0021094', 'EFO_0000574']",False,False,21,Human immunodeficiency virus type 1 reverse transcriptase inhibitor ,INHIBITOR ,single protein 
3,BUPARLISIB,CHEMBL2017974,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 26 investigational indications.,,3.0,,False,no approval year,"['ENSG00000145675', 'ENSG00000051382', 'ENSG00000105851', 'ENSG00000121879', 'ENSG00000105647', 'ENSG00000171608', 'ENSG00000141506', 'ENSG00000117461']","['EFO_1000581', 'MONDO_0044903', 'EFO_0000519', 'EFO_0000403', 'EFO_0000565', 'EFO_0000702', 'EFO_0003060', 'EFO_0000095', 'MONDO_0018906', 'MONDO_0008903', 'MONDO_0011719', 'MONDO_0007576', 'MONDO_0007254', 'EFO_0006859', 'MONDO_0002108', 'EFO_0001421', 'EFO_1001469', 'EFO_0003086', 'EFO_0000616', 'EFO_0000756', 'EFO_1001951', 'EFO_0003869', 'MONDO_0011962', 'MONDO_0002974', 'EFO_0000181', 'MONDO_0008315']",True,False,26,PI3-kinase class I inhibitor ,INHIBITOR ,protein complex group 
4,SASANLIMAB,CHEMBL4298191,Antibody drug with a maximum clinical trial phase of III (across all indications) and has 5 investigational indications.,,3.0,,False,no approval year,['ENSG00000188389'],"['EFO_0003060', 'EFO_0008528', 'MONDO_0001187', 'EFO_0000673', 'EFO_0009708']",False,False,5,Programmed cell death protein 1 antagonist ,ANTAGONIST ,single protein 
5,URACIL,CHEMBL566,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 13 investigational indications.,,3.0,,False,no approval year,[],"['MONDO_0004992', 'EFO_0000616', 'MONDO_0001056', 'MONDO_0007254', 'EFO_0000182', 'EFO_0003060', 'EFO_0006859', 'EFO_1001951', 'EFO_1000657', 'EFO_0003869', 'EFO_0000199', 'MONDO_0021355', 'MONDO_0001187']",False,False,13,,,
6,NIRAPARIB,CHEMBL1094636,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2017 and has 5 approved and 39 investigational indications.,,4.0,,False,2017,"['ENSG00000129484', 'ENSG00000143799']","['EFO_1000251', 'EFO_0004230', 'EFO_0003869', 'MONDO_0008315', 'EFO_0001075', 'EFO_0000519', 'EFO_0001075', 'Orphanet_145', 'EFO_0001663', 'EFO_0000174', 'MONDO_0004992', 'EFO_1001512', 'MONDO_0011962', 'EFO_0002517', 'EFO_0006859', 'MONDO_0002158', 'EFO_1000657', 'EFO_0000707', 'EFO_0000616', 'MONDO_0008903', 'MONDO_0002974', 'EFO_0000181', 'EFO_0003060', 'EFO_0003893', 'EFO_0000305', 'EFO_0000564', 'EFO_0000196', 'MONDO_0007254', 'EFO_0002617', 'EFO_0000574', 'MONDO_0002087', 'EFO_0000095', 'EFO_0002618', 'EFO_0003863', 'MONDO_0001056', 'EFO_0000702', 'EFO_0000588', 'EFO_0000673', 'EFO_1001100', 'EFO_0008528', 'EFO_0001061', 'EFO_0000365', 'MONDO_0001187', 'MONDO_0008170']",True,False,44,Poly [ADP-ribose] polymerase-1 inhibitor Poly [ADP-ribose] polymerase 2 inhibitor ,INHIBITOR ,single protein 
7,DARATUMUMAB,CHEMBL1743007,Antibody drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2015 and has 3 approved and 34 investigational indications.,,4.0,,False,2015,['ENSG00000004468'],"['MONDO_0019438', 'EFO_0001378', 'EFO_0000222', 'EFO_0005952', 'MONDO_0007915', 'EFO_0007160', 'EFO_0003060', 'EFO_0006475', 'EFO_0000403', 'EFO_0005761', 'MONDO_0018906', 'EFO_0004256', 'EFO_0000198', 'EFO_1001875', 'EFO_0000220', 'EFO_1001469', 'EFO_0000349', 'EFO_0000616', 'EFO_0003073', 'MONDO_0018904', 'EFO_1001115', 'EFO_0000574', 'EFO_0000519', 'EFO_0009441', 'EFO_0000203', 'EFO_0000209', 'EFO_0000183', 'EFO_1001051', 'EFO_0000673', 'MONDO_0004992', 'EFO_1001951', 'EFO_0000095', 'EFO_0004599', 'MONDO_0004975', 'EFO_0006738', 'EFO_0005558', 'MONDO_0008315']",True,False,37,Lymphocyte differentiation antigen CD38 inhibitor ,INHIBITOR ,single protein 
8,INSULIN DETEMIR,CHEMBL2104391,Protein drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2005 and has 3 approved and 5 investigational indications.,,4.0,,False,2005,['ENSG00000171105'],"['EFO_0003914', 'EFO_0000400', 'MONDO_0005148', 'MONDO_0005147', 'MONDO_0009061', 'EFO_0000537', 'EFO_0001645', 'HP_0003124']",False,False,8,Insulin receptor agonist ,AGONIST ,single protein 
9,LIPROTAMASE,CHEMBL2108703,Enzyme drug with a maximum clinical trial phase of III (across all indications) and has 2 investigational indications.,,3.0,,False,no approval year,[],"['MONDO_0001684', 'MONDO_0009061']",False,False,2,,,
