,gene_id,gene_name,disease,disease_ontology_id,ct_marker_evidence,disease_evidence,disease_ct_evidence,bulk_disease_evidence,genetic_evidence_OT,is_hvg_normal,is_hvg_disease,ti_uid,indication_mesh_id,indication_mesh_term,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,MONDO,genetic_evidence_minikel
13425,ENSG00000204256,BRD2,squamous cell lung carcinoma,MONDO_0005097,0.0,0.0,0.0,0.0,0.0,1.0,1.0,BRD2-D002294,D002294,"Carcinoma, Squamous Cell",Phase II,True,True,False,False,unsupported target,MONDO_0005096,0.0
17625,ENSG00000105675,ATP4A,stomach disorder,MONDO_0004298,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ATP4A-D005764,D005764,Gastroesophageal Reflux,Launched,True,True,True,True,unsupported target,MONDO_0007186,0.0
18140,ENSG00000110148,CCKBR,stomach disorder,MONDO_0004298,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CCKBR-D005764,D005764,Gastroesophageal Reflux,Phase I,True,False,False,False,unsupported target,MONDO_0007186,0.0
24120,ENSG00000163399,ATP1A1,stomach disorder,MONDO_0004298,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ATP1A1-D005764,D005764,Gastroesophageal Reflux,Launched,True,True,True,True,unsupported target,MONDO_0007186,0.0
27305,ENSG00000184502,GAST,stomach disorder,MONDO_0004298,0.0,1.0,1.0,0.0,0.0,1.0,1.0,GAST-D005764,D005764,Gastroesophageal Reflux,Launched,True,True,True,True,unsupported target,MONDO_0007186,0.0
30094,ENSG00000012779,ALOX5,chronic rhinitis,MONDO_0004514,0.0,1.0,0.0,1.0,0.0,1.0,1.0,ALOX5-D012220,D012220,Rhinitis,Phase II,True,True,False,False,unsupported target,MONDO_0003014,0.0
33031,ENSG00000109320,NFKB1,chronic rhinitis,MONDO_0004514,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NFKB1-D012220,D012220,Rhinitis,Phase II,True,True,False,False,genetically supported target,MONDO_0003014,1.0
40196,ENSG00000168398,BDKRB2,chronic rhinitis,MONDO_0004514,1.0,0.0,0.0,0.0,0.0,1.0,1.0,BDKRB2-D012220,D012220,Rhinitis,Phase II,True,True,False,False,unsupported target,MONDO_0003014,0.0
45164,ENSG00000096968,JAK2,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,JAK2-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
45167,ENSG00000105650,PDE4C,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4C-D011014,D011014,Pneumonia,Phase I,True,False,False,False,unsupported target,MONDO_0005249,0.0
45172,ENSG00000113448,PDE4D,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4D-D011014,D011014,Pneumonia,Phase I,True,False,False,False,unsupported target,MONDO_0005249,0.0
45181,ENSG00000125538,IL1B,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,IL1B-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
45185,ENSG00000136869,TLR4,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TLR4-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
45218,ENSG00000184588,PDE4B,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,PDE4B-D011014,D011014,Pneumonia,Phase I,True,False,False,False,unsupported target,MONDO_0005249,0.0
45362,ENSG00000007908,SELE,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SELE-D011014,D011014,Pneumonia,Preclinical,False,False,False,False,unsupported target,MONDO_0005249,0.0
45416,ENSG00000010671,BTK,pneumonia,MONDO_0005249,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BTK-D011014,D011014,Pneumonia,Phase II,True,True,False,False,unsupported target,MONDO_0005249,0.0
45865,ENSG00000064989,CALCRL,pneumonia,MONDO_0005249,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CALCRL-D011014,D011014,Pneumonia,Phase III,True,True,True,False,unsupported target,MONDO_0005249,0.0
