,ti_uid,indication_mesh_term,gene_name,combined_max_phase,succ_p_1,succ_1_2,succ_2_3,succ_3_a,target_status,gene_id,disease_relevant_tissues,dtr_blood,dtr_bone_marrow,dtr_brain,dtr_colon,dtr_esophagus,dtr_eye,dtr_heart,dtr_kidney,dtr_liver,dtr_lung,dtr_nose,dtr_pancreas,dtr_prostate,dtr_skin,dtr_small_intestine,genetic_evidence_minikel
0,A2M-D002545,Brain Ischemia,A2M,Phase III,True,True,True,False,unsupported target,ENSG00000175899,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ABCA1-D002545,Brain Ischemia,ABCA1,Preclinical,False,,,,unsupported target,ENSG00000165029,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ABCC8-D002545,Brain Ischemia,ABCC8,Phase III,True,True,True,,unsupported target,ENSG00000006071,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,ACHE-D002545,Brain Ischemia,ACHE,Phase II,True,True,False,,unsupported target,ENSG00000087085,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ADAM17-D002545,Brain Ischemia,ADAM17,Preclinical,False,,,,unsupported target,ENSG00000151694,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ADAMTS13-D002545,Brain Ischemia,ADAMTS13,Preclinical,False,,,,unsupported target,ENSG00000160323,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ADH5-D002545,Brain Ischemia,ADH5,Preclinical,False,,,,unsupported target,ENSG00000197894,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ADNP-D002545,Brain Ischemia,ADNP,Preclinical,False,,,,unsupported target,ENSG00000101126,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,ADORA1-D002545,Brain Ischemia,ADORA1,Preclinical,False,,,,unsupported target,ENSG00000163485,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ADORA3-D002545,Brain Ischemia,ADORA3,Phase II,True,True,False,,unsupported target,ENSG00000282608,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AGTR2-D002545,Brain Ischemia,AGTR2,Preclinical,False,,,,unsupported target,ENSG00000180772,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,AOC3-D002545,Brain Ischemia,AOC3,Phase II,True,True,False,,unsupported target,ENSG00000131471,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,APOA1-D002545,Brain Ischemia,APOA1,Phase I,True,False,,,unsupported target,ENSG00000118137,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APP-D002545,Brain Ischemia,APP,Phase II,True,True,,,unsupported target,ENSG00000142192,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,AQP4-D002545,Brain Ischemia,AQP4,Phase I,True,,,,unsupported target,ENSG00000171885,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,ASIC1-D002545,Brain Ischemia,ASIC1,Preclinical,False,,,,unsupported target,ENSG00000110881,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BACE1-D002545,Brain Ischemia,BACE1,Preclinical,,,,,unsupported target,ENSG00000186318,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,C3-D002545,Brain Ischemia,C3,Phase I,True,False,,,unsupported target,ENSG00000125730,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,C5-D002545,Brain Ischemia,C5,Preclinical,False,,,,unsupported target,ENSG00000106804,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CACNA1B-D002545,Brain Ischemia,CACNA1B,Phase II,True,True,False,,unsupported target,ENSG00000148408,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CACNA1C-D002545,Brain Ischemia,CACNA1C,Phase III,True,True,True,False,unsupported target,ENSG00000151067,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,CASP1-D002545,Brain Ischemia,CASP1,Preclinical,False,,,,unsupported target,ENSG00000137752,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,CASP2-D002545,Brain Ischemia,CASP2,Preclinical,False,,,,unsupported target,ENSG00000106144,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CASP3-D002545,Brain Ischemia,CASP3,Preclinical,False,,,,unsupported target,ENSG00000164305,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,CASP8-D002545,Brain Ischemia,CASP8,Preclinical,False,,,,unsupported target,ENSG00000064012,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CCL2-D002545,Brain Ischemia,CCL2,Preclinical,False,,,,unsupported target,ENSG00000108691,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,CCR5-D002545,Brain Ischemia,CCR5,Preclinical,,,,,unsupported target,ENSG00000160791,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CDK5-D002545,Brain Ischemia,CDK5,Preclinical,False,,,,unsupported target,ENSG00000164885,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,CHRM1-D002545,Brain Ischemia,CHRM1,Preclinical,,,,,unsupported target,ENSG00000168539,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,CHRM2-D002545,Brain Ischemia,CHRM2,Preclinical,,,,,unsupported target,ENSG00000181072,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,CHRM3-D002545,Brain Ischemia,CHRM3,Preclinical,False,,,,unsupported target,ENSG00000133019,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHRNA7-D002545,Brain Ischemia,CHRNA7,Preclinical,False,,,,unsupported target,ENSG00000175344,brain,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
